,Hour_End,Time,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
4147,6/21/2016 21:00,2016-06-21 21:00:00,14876.47101,2000.9734579999997,2473.794445,1164.542728,20068.838209999998,4552.048342,9850.743898,1492.411803,56479.82389
4148,6/21/2016 22:00,2016-06-21 22:00:00,14599.840519999998,1928.691938,2445.582178,1129.740956,19399.77552,4470.025505,9516.549179000001,1446.4923939999999,54936.698189999996
4149,6/21/2016 23:00,2016-06-21 23:00:00,13796.610190000001,1796.164453,2349.130986,1058.6350810000001,17951.20596,4189.5965590000005,8773.676909,1351.9358730000001,51266.95601
4150,6/22/2016 0:00,2016-06-22 00:00:00,12804.0002,1648.0768,2226.7256,973.80304,16262.8392,3834.8343,7916.08885,1230.97348,46897.34147
4151,6/22/2016 1:00,2016-06-22 01:00:00,11965.48235,1479.4700480000001,2164.618378,918.1773599999999,15006.48654,3452.6964399999997,7195.042619,1141.695174,43323.66891
4152,6/22/2016 2:00,2016-06-22 02:00:00,11384.04339,1368.599499,2116.512862,877.2993444,14083.077269999998,3237.992418,6679.618624000001,1085.041291,40832.1847
4153,6/22/2016 3:00,2016-06-22 03:00:00,10999.50942,1303.715325,2078.440696,841.6357608,13420.150759999999,3083.081613,6306.680711999999,1048.083807,39081.2981
4154,6/22/2016 4:00,2016-06-22 04:00:00,10808.35065,1265.406138,2059.91368,820.9947597,13011.39722,2974.541715,6056.602679,1021.367935,38018.57478
4155,6/22/2016 5:00,2016-06-22 05:00:00,10879.076159999999,1295.1455,2046.0341420000002,816.5627029,12904.63856,2921.1528710000002,5952.863982,1008.348678,37823.822589999996
4156,6/22/2016 6:00,2016-06-22 06:00:00,11367.199120000001,1305.645278,2052.343406,830.5163411,13302.3043,2960.172631,6112.694283,1025.39598,38956.27134
4157,6/22/2016 7:00,2016-06-22 07:00:00,11836.047209999999,1395.211356,2075.5760179999997,848.2521998999999,13818.96322,3072.586156,6432.547678,1066.24216,40545.426
4158,6/22/2016 8:00,2016-06-22 08:00:00,12243.50973,1459.8405070000001,2104.499391,879.8456138,14413.28552,3152.0643210000003,6700.898438,1107.922437,42061.86596
4159,6/22/2016 9:00,2016-06-22 09:00:00,12963.496309999999,1570.452945,2176.394757,944.4916886,15400.7974,3423.745989,7162.824751,1174.0101550000002,44816.21399
4160,6/22/2016 10:00,2016-06-22 10:00:00,13940.746519999999,1695.9683149999998,2280.971614,1009.6663609999999,16602.151469999997,3779.130532,7730.504125,1249.268034,48288.40697
4161,6/22/2016 11:00,2016-06-22 11:00:00,14864.086430000001,1818.1393890000002,2354.981523,1083.537077,17981.54552,4146.9827350000005,8373.862981999999,1324.319916,51947.45557
4162,6/22/2016 12:00,2016-06-22 12:00:00,15507.816490000001,1923.710107,2450.013653,1149.367352,19277.26714,4495.435042,8995.979905,1406.596854,55206.186539999995
